Date	1 Mo	3 Mo	6 Mo	1 Yr	2 Yr	3 Yr	5 Yr	7 Yr	10 Yr	20 Yr	30 Yr
03/02/15	0.02	0.02	0.08	0.22	0.66	1.06	1.57	1.89	2.08	2.46	2.68
03/03/15	0.01	0.02	0.08	0.26	0.68	1.09	1.61	1.94	2.12	2.49	2.71
03/04/15	0.01	0.01	0.08	0.26	0.66	1.07	1.60	1.93	2.12	2.49	2.72
03/05/15	0.02	0.02	0.08	0.25	0.65	1.05	1.57	1.90	2.11	2.49	2.71
03/06/15	0.02	0.01	0.08	0.27	0.73	1.16	1.70	2.04	2.24	2.63	2.83
03/09/15	0.01	0.02	0.10	0.27	0.70	1.13	1.66	1.99	2.20	2.58	2.80
03/10/15	0.03	0.02	0.10	0.25	0.70	1.10	1.62	1.94	2.14	2.51	2.73
03/11/15	0.03	0.03	0.10	0.25	0.70	1.09	1.60	1.92	2.11	2.47	2.69
03/12/15	0.03	0.03	0.10	0.24	0.67	1.06	1.59	1.91	2.10	2.47	2.69
03/13/15	0.03	0.03	0.11	0.24	0.68	1.07	1.60	1.93	2.13	2.48	2.70
03/16/15	0.02	0.05	0.15	0.26	0.66	1.06	1.57	1.90	2.10	2.45	2.67
03/17/15	0.05	0.05	0.15	0.27	0.70	1.07	1.56	1.87	2.06	2.40	2.61
03/18/15	0.02	0.03	0.12	0.23	0.57	0.92	1.41	1.73	1.93	2.31	2.51
03/19/15	0.02	0.03	0.12	0.26	0.63	0.99	1.48	1.79	1.98	2.33	2.54
03/20/15	0.00	0.01	0.11	0.24	0.60	0.95	1.42	1.73	1.93	2.29	2.50
03/23/15	0.02	0.03	0.11	0.24	0.60	0.93	1.41	1.71	1.92	2.29	2.51
